,class,score,x-min,y-min,x-max,y-max
0,sentence,[0.9997695],169.51332,1807.5063,305.35385,1875.1497
1,sentence,[0.99973685],150.16162,2464.5364,359.07492,2526.2913
2,sentence,[0.9997038],921.8527,2269.826,1327.1389,2332.2441
3,line,[0.99963546],1202.3252,691.7738,1795.6829,775.23584
4,block,[0.999411],498.03696,1917.8463,1927.5742,2093.596
5,sentence,[0.9994017],1634.6578,534.12476,1946.4357,593.46356
6,sentence,[0.9993753],779.93,2019.2651,1957.3102,2090.6992
7,sentence,[0.99931216],792.46924,2345.5837,2010.1124,2421.0957
8,formula,[0.9992767],475.4476,1374.9825,1267.976,1467.6909
9,formula,[0.99924445],450.74356,1547.8721,1345.3318,1635.7179
10,formula,[0.9990716],423.35974,1784.3887,1602.6803,1881.151
11,sentence,[0.9990074],156.81703,2139.5688,293.6253,2204.9153
12,sentence,[0.9989889],440.89212,525.9344,1549.7208,599.91223
13,sentence,[0.9989741],549.6194,1695.1091,1464.7427,1760.3455
14,sentence,[0.99880993],953.7935,2624.3442,1971.8816,2693.5166
15,formula,[0.9987777],357.06396,2113.037,1312.3088,2214.2188
16,sentence,[0.998553],155.45534,2631.9307,354.7066,2693.9277
17,sentence,[0.99805],371.23285,436.39688,1644.9713,515.2928
18,sentence,[0.9978423],652.9307,691.0583,1851.2299,758.6219
19,sentence,[0.9978224],102.023186,444.60873,279.21375,506.552
20,sentence,[0.99761933],675.7682,613.9023,1388.8168,678.1171
21,formula,[0.9976158],472.66306,1212.3457,1239.0702,1296.946
22,formula,[0.9974928],1309.9789,635.6644,1443.3323,679.2697
23,sentence,[0.99739313],576.87915,2264.2236,828.91364,2334.3542
24,sentence,[0.9973315],569.0576,1929.33,764.1022,2002.7004
25,sentence,[0.99687946],82.31465,370.28183,491.61148,425.98926
26,sentence,[0.9966163],149.54796,896.20734,304.48917,961.6103
27,formula,[0.9964011],447.47098,1041.2933,1179.8162,1126.8368
28,formula,[0.99560815],728.12244,2630.9358,871.9445,2690.9941
29,block,[0.9955279],374.71207,1182.808,1252.8369,1500.8716
30,sentence,[0.995331],553.19037,350.95593,1870.4448,431.3995
31,sentence,[0.99461174],164.98836,1064.5226,346.69022,1124.3942
32,sentence,[0.9931365],156.23303,1308.628,294.2228,1368.3375
33,sentence,[0.99310994],181.50145,1561.5109,295.12,1624.6495
34,sentence,[0.9917189],235.18492,528.98505,384.48166,598.3303
35,formula,[0.98967767],1385.9509,1946.04,1783.7319,2007.4078
36,formula,[0.989234],1283.8131,528.9054,1514.4612,590.9487
37,formula,[0.98549056],1094.3444,777.70074,1590.8245,848.5503
38,formula,[0.9806302],469.89676,2448.1655,1777.9154,2534.612
39,sentence,[0.9799804],588.04407,2356.4568,724.99854,2412.8096
40,formula,[0.96939576],359.5715,1698.7905,478.81146,1749.1877
41,formula,[0.9653998],461.4034,1212.4781,776.57513,1295.1283
42,sentence,[0.9632633],567.1594,1938.9158,1798.679,2013.6091
43,sentence,[0.93506235],460.62827,2629.9023,635.93713,2686.2607
44,sentence,[0.92373425],388.91064,882.8265,1168.5903,969.21747
45,sentence,[0.90504736],1644.7422,533.5959,1728.3822,588.57324
46,formula,[0.877814],411.07544,882.3395,920.5014,964.7089
47,block,[0.8551416],516.2295,2238.9832,1980.4568,2425.6558
48,formula,[0.8528756],413.7114,1567.7067,545.70935,1623.9169
49,sentence,[0.7380655],742.68994,1940.5955,1375.1057,2009.2296
