,class,score,x-min,y-min,x-max,y-max
0,sentence,[0.9997732],155.70111,1970.6243,746.797,2042.2177
1,sentence,[0.9994252],1624.1125,1049.4829,1841.5394,1119.6202
2,sentence,[0.9993949],876.77106,558.93726,1985.8181,627.8143
3,line,[0.99900204],616.1868,1139.6449,1257.7163,1230.4949
4,sentence,[0.9989661],809.085,491.63342,918.2398,546.6455
5,line,[0.9989492],627.64246,1064.4913,1206.2023,1141.1105
6,sentence,[0.9989318],298.7049,715.02545,504.79767,757.953
7,line,[0.9988864],1662.661,565.18976,1975.4281,642.127
8,line,[0.9988765],1543.5859,1137.9054,1972.7832,1217.2805
9,line,[0.9988445],889.8967,563.26465,1080.4749,634.3736
10,line,[0.9988367],530.4123,1634.224,1647.1125,1716.2451
11,sentence,[0.9986993],387.78085,485.83514,575.7966,543.8651
12,sentence,[0.99867237],115.4479,399.31833,455.49637,455.72223
13,sentence,[0.9986625],524.8333,1878.526,1950.6052,1952.8975
14,sentence,[0.9985745],203.96625,1645.9963,466.61865,1704.2606
15,sentence,[0.99840504],997.0375,476.6565,1208.6074,541.2793
16,line,[0.99807125],1019.42456,652.67676,1378.0803,728.8946
17,sentence,[0.9971029],195.03369,1801.821,465.60815,1912.4657
18,block,[0.9969369],105.14847,1626.5071,2048.8372,1984.0721
19,sentence,[0.9966252],319.1483,602.61096,517.8057,655.94885
20,sentence,[0.9962262],620.9462,1062.3551,1550.8408,1123.3413
21,sentence,[0.99611616],249.31511,1725.9434,413.56784,1777.1006
22,sentence,[0.99590474],646.5829,1391.643,2035.7212,1593.0997
23,sentence,[0.9955076],339.93237,794.8713,513.4751,841.15155
24,line,[0.9954027],544.6459,1800.1154,1560.1998,1883.438
25,sentence,[0.9953945],145.25722,491.73825,329.47156,549.1516
26,sentence,[0.99245113],177.7291,1161.6827,533.1577,1213.1735
27,sentence,[0.9922794],563.835,1717.7534,1738.3982,1788.5177
28,sentence,[0.9915173],119.492516,976.23755,416.039,1041.3048
29,formula,[0.9904336],306.12933,1411.427,543.4501,1459.5173
30,sentence,[0.98513967],895.3219,651.0061,1538.3326,704.7946
31,sentence,[0.97932625],163.98833,1074.1609,559.70355,1126.0603
32,sentence,[0.9764223],609.74805,1323.0813,895.65796,1379.699
33,sentence,[0.9733795],124.07454,1407.8054,357.39877,1460.8439
34,line,[0.9733516],1829.1293,1386.9531,2029.8265,1451.7397
35,sentence,[0.96626663],519.6904,1790.836,1931.3748,1871.9282
36,sentence,[0.95171624],567.4838,809.79095,603.65106,870.29614
37,diagram,[0.94754463],133.32645,572.85034,637.6854,922.2465
38,sentence,[0.92625356],234.97035,1893.7527,405.9026,1948.0033
39,sentence,[0.8500865],515.1842,1629.1251,2040.5656,1708.3876
40,sentence,[0.8345657],561.6447,631.4186,611.7123,868.56683
41,sentence,[0.8081935],647.8512,1565.1511,943.72076,1620.5381
42,line,[0.7280015],662.73334,1477.519,1127.2472,1558.7012
43,sentence,[0.6589197],598.4212,1136.6234,1985.9746,1255.7402
